datetime;Eólica;Hidráulica;Nuclear;Solar fotovoltaica;Solar térmica;Térmica renovable;Demanda real;Mercado SPOT
2022-01-01T00:00:00+01:00;6334.17;1295.00;6090.33;63.00;10.00;582.00;21558.66667;145.86
2022-01-01T01:00:00+01:00;6388.17;818.83;6090.17;63.17;10.00;571.00;20914;114.9
2022-01-01T02:00:00+01:00;6456.50;58.17;6091.50;63.83;10.00;568.17;19622.16667;113.87
2022-01-01T03:00:00+01:00;6177.67;-636.83;6090.17;63.67;10.00;566.33;18462.83333;97.8
2022-01-01T04:00:00+01:00;5937.67;-1010.83;6090.83;64.00;10.00;567.67;17723.33333;97.8
2022-01-01T05:00:00+01:00;5858.17;-1119.33;6090.67;63.83;10.00;568.00;17409.16667;95.74
2022-01-01T06:00:00+01:00;5694.50;-1153.67;6091.33;63.83;10.00;567.17;17511.66667;97.8
2022-01-01T07:00:00+01:00;5581.83;-981.33;6092.00;64.00;10.00;567.83;17822.5;97.8
2022-01-01T08:00:00+01:00;5538.67;-1088.17;6092.33;101.00;9.67;572.17;17817.83333;97.8
2022-01-01T09:00:00+01:00;5650.67;-1413.50;6094.17;1745.50;11.83;574.67;18410.33333;70.05
2022-01-01T10:00:00+01:00;5211.00;-1484.17;6092.17;4939.33;65.17;575.00;19910;76.79
2022-01-01T11:00:00+01:00;4931.17;-1421.50;6089.67;6368.17;568.67;574.17;20941;84.1
2022-01-01T12:00:00+01:00;4524.50;-1331.33;6088.33;6627.17;927.67;575.67;21476;94.74
2022-01-01T13:00:00+01:00;4270.17;-1161.17;6087.17;6665.67;859.83;575.17;22041.66667;96.8
2022-01-01T14:00:00+01:00;4115.50;-675.83;6090.83;6563.50;799.17;575.83;22453.33333;97.8
2022-01-01T15:00:00+01:00;4647.83;-252.17;6090.50;5925.17;931.17;572.67;21194.66667;98.52
2022-01-01T16:00:00+01:00;4914.00;385.17;6088.17;4014.83;993.83;571.17;20600.83333;114.5
2022-01-01T17:00:00+01:00;5356.67;1854.00;6084.00;1174.00;726.67;581.83;20977.66667;149.97
2022-01-01T18:00:00+01:00;5580.33;3428.67;6083.00;104.67;203.83;585.67;23032;177.22
2022-01-01T19:00:00+01:00;6118.50;3582.33;6084.50;85.83;61.50;587.67;24364.83333;187.52
2022-01-01T20:00:00+01:00;6493.83;3843.00;6085.83;80.00;47.33;593.83;24893.5;189.26
2022-01-01T21:00:00+01:00;6799.83;3807.33;6086.67;36.33;47.83;595.83;25223.33333;190.81
2022-01-01T22:00:00+01:00;6851.17;3408.83;6088.17;2.00;47.67;595.17;24269.83333;188.39
2022-01-01T23:00:00+01:00;6586.50;3347.00;6089.67;-25.00;42.67;589.17;22704.5;167.26
2022-01-02T00:00:00+01:00;6413.50;1416.67;6090.67;-24.50;17.00;591.33;21166.83333;133.21
2022-01-02T01:00:00+01:00;6368.33;763.50;6092.17;3.00;11.83;587.83;19602.83333;115.87
2022-01-02T02:00:00+01:00;6085.50;62.50;6091.67;4.00;0.17;585.33;18439.83333;110.52
2022-01-02T03:00:00+01:00;5961.33;-314.50;6092.17;3.67;0.00;583.33;17833.83333;113
2022-01-02T04:00:00+01:00;5821.83;-443.67;6084.50;4.00;0.00;583.00;17567.16667;115.87
2022-01-02T05:00:00+01:00;5752.00;-298.83;6077.83;4.00;0.00;583.83;17627.5;110.52
2022-01-02T06:00:00+01:00;5598.33;186.00;6079.50;3.83;0.00;592.33;18300.16667;115.87
2022-01-02T07:00:00+01:00;5374.33;448.50;6080.67;3.83;0.00;594.83;19135.5;129.6
2022-01-02T08:00:00+01:00;5112.50;577.33;6079.50;53.17;0.00;603.33;19885.33333;115.87
2022-01-02T09:00:00+01:00;4787.67;736.33;6080.83;1414.50;0.00;608.33;21334;115.87
2022-01-02T10:00:00+01:00;4455.50;614.67;6081.67;3975.50;40.67;612.33;23170;113
2022-01-02T11:00:00+01:00;4016.00;543.17;6083.50;5565.33;206.83;620.50;24095.5;103.7
2022-01-02T12:00:00+01:00;3873.33;332.83;6084.83;6271.17;368.50;608.67;24175;103.7
2022-01-02T13:00:00+01:00;3775.50;496.67;6083.83;6407.67;490.00;611.00;24584;110.52
2022-01-02T14:00:00+01:00;3457.83;566.83;6080.67;6322.83;538.83;607.83;24985.5;115.87
2022-01-02T15:00:00+01:00;3243.17;560.33;6079.00;5921.00;698.00;606.17;23960.5;109.5
2022-01-02T16:00:00+01:00;2858.83;971.00;6084.83;4125.83;871.33;602.67;23295.66667;115.87
2022-01-02T17:00:00+01:00;2670.17;2476.83;6085.67;1200.83;677.67;606.17;23503;159.79
2022-01-02T18:00:00+01:00;2634.67;3618.17;6085.83;71.17;126.00;608.67;25760.83333;194.25
2022-01-02T19:00:00+01:00;2608.50;5021.50;6088.67;52.67;10.83;607.33;27244.33333;198
2022-01-02T20:00:00+01:00;2553.17;5696.33;6089.67;52.00;10.00;605.33;28149.16667;208.38
2022-01-02T21:00:00+01:00;2593.83;5647.83;6089.83;52.00;10.00;605.00;28141.83333;209.1
2022-01-02T22:00:00+01:00;2723.17;4925.50;6091.00;36.83;10.00;605.00;26832;191.36
2022-01-02T23:00:00+01:00;2958.33;3970.50;6093.00;29.00;10.00;603.33;24709.5;178
2022-01-03T00:00:00+01:00;3374.83;1759.83;6093.83;28.83;10.00;600.50;22910.66667;181.5
2022-01-03T01:00:00+01:00;3432.83;1095.33;6092.83;29.00;10.00;600.00;21303.33333;160.72
2022-01-03T02:00:00+01:00;3593.17;629.17;6093.50;29.00;10.00;599.17;20227.33333;154.64
2022-01-03T03:00:00+01:00;3676.17;111.83;6091.67;29.00;10.00;598.17;19707.33333;149.86
2022-01-03T04:00:00+01:00;3721.17;-159.50;6090.33;29.00;10.00;598.00;19712.5;144.49
2022-01-03T05:00:00+01:00;3886.00;208.33;6089.67;29.00;10.00;598.83;20399.83333;148.86
2022-01-03T06:00:00+01:00;4007.83;1279.00;6091.50;28.83;10.00;598.17;22692.33333;153.77
2022-01-03T07:00:00+01:00;4387.17;2198.33;6089.50;29.00;9.83;597.17;25907.16667;160.72
2022-01-03T08:00:00+01:00;4902.17;2718.00;6091.33;69.33;10.00;607.83;28397.5;189.26
2022-01-03T09:00:00+01:00;5197.00;3228.83;6091.17;1610.17;9.83;611.67;30070.5;183.54
2022-01-03T10:00:00+01:00;5172.50;2334.00;6091.50;4727.33;59.33;612.00;31073.5;160.72
2022-01-03T11:00:00+01:00;5117.17;1623.33;6091.67;6320.50;376.67;610.33;30849.33333;152.2
2022-01-03T12:00:00+01:00;5399.50;813.83;6092.50;6721.33;638.50;610.83;30492.66667;148.86
2022-01-03T13:00:00+01:00;5908.67;278.67;6090.83;6859.17;695.17;611.00;30476;142.04
2022-01-03T14:00:00+01:00;6352.50;437.67;6093.50;6883.83;769.67;611.83;30154.16667;127.38
2022-01-03T15:00:00+01:00;6843.17;241.83;6090.83;6510.67;917.17;618.67;29194.16667;112.87
2022-01-03T16:00:00+01:00;6942.17;1066.83;6087.00;4617.00;1050.33;624.17;28775.16667;126.8
2022-01-03T17:00:00+01:00;7316.17;2231.83;6088.83;1276.17;770.50;626.50;29164.16667;148.49
