desvio;value;datetime
subir;84.88;2022-01-01T00:00:00+01:00
subir;114.9;2022-01-01T01:00:00+01:00
subir;113.87;2022-01-01T02:00:00+01:00
subir;97.8;2022-01-01T03:00:00+01:00
subir;97.8;2022-01-01T04:00:00+01:00
subir;95.74;2022-01-01T05:00:00+01:00
subir;97.8;2022-01-01T06:00:00+01:00
subir;97.8;2022-01-01T07:00:00+01:00
subir;97.8;2022-01-01T08:00:00+01:00
subir;0;2022-01-01T09:00:00+01:00
subir;1.45;2022-01-01T10:00:00+01:00
subir;-0.01;2022-01-01T11:00:00+01:00
subir;-0.04;2022-01-01T12:00:00+01:00
subir;-0.03;2022-01-01T13:00:00+01:00
subir;-0.03;2022-01-01T14:00:00+01:00
subir;0;2022-01-01T15:00:00+01:00
subir;0;2022-01-01T16:00:00+01:00
subir;149.97;2022-01-01T17:00:00+01:00
subir;177.22;2022-01-01T18:00:00+01:00
subir;187.52;2022-01-01T19:00:00+01:00
subir;189.26;2022-01-01T20:00:00+01:00
subir;190.81;2022-01-01T21:00:00+01:00
subir;62.62;2022-01-01T22:00:00+01:00
subir;167.26;2022-01-01T23:00:00+01:00
subir;133.21;2022-01-02T00:00:00+01:00
subir;115.87;2022-01-02T01:00:00+01:00
subir;110.52;2022-01-02T02:00:00+01:00
subir;113;2022-01-02T03:00:00+01:00
subir;115.87;2022-01-02T04:00:00+01:00
subir;110.52;2022-01-02T05:00:00+01:00
subir;115.87;2022-01-02T06:00:00+01:00
subir;129.6;2022-01-02T07:00:00+01:00
subir;115.87;2022-01-02T08:00:00+01:00
subir;115.87;2022-01-02T09:00:00+01:00
subir;113;2022-01-02T10:00:00+01:00
subir;103.7;2022-01-02T11:00:00+01:00
subir;103.7;2022-01-02T12:00:00+01:00
subir;110.52;2022-01-02T13:00:00+01:00
subir;115.87;2022-01-02T14:00:00+01:00
subir;109.49;2022-01-02T15:00:00+01:00
subir;115.87;2022-01-02T16:00:00+01:00
subir;159.79;2022-01-02T17:00:00+01:00
subir;194.25;2022-01-02T18:00:00+01:00
subir;198;2022-01-02T19:00:00+01:00
subir;208.38;2022-01-02T20:00:00+01:00
subir;209.1;2022-01-02T21:00:00+01:00
subir;191.36;2022-01-02T22:00:00+01:00
subir;178;2022-01-02T23:00:00+01:00
subir;124.53;2022-01-03T00:00:00+01:00
subir;150.62;2022-01-03T01:00:00+01:00
subir;151.64;2022-01-03T02:00:00+01:00
subir;148;2022-01-03T03:00:00+01:00
subir;144.49;2022-01-03T04:00:00+01:00
subir;148.86;2022-01-03T05:00:00+01:00
subir;153.77;2022-01-03T06:00:00+01:00
subir;160.72;2022-01-03T07:00:00+01:00
subir;189.26;2022-01-03T08:00:00+01:00
subir;183.54;2022-01-03T09:00:00+01:00
subir;146.9;2022-01-03T10:00:00+01:00
subir;145.8;2022-01-03T11:00:00+01:00
subir;106.87;2022-01-03T12:00:00+01:00
subir;112.9;2022-01-03T13:00:00+01:00
subir;111.96;2022-01-03T14:00:00+01:00
subir;112.26;2022-01-03T15:00:00+01:00
subir;110.86;2022-01-03T16:00:00+01:00
subir;148.49;2022-01-03T17:00:00+01:00
subir;175.06;2022-01-03T18:00:00+01:00
subir;180;2022-01-03T19:00:00+01:00
subir;153.77;2022-01-03T20:00:00+01:00
subir;141.94;2022-01-03T21:00:00+01:00
subir;114.11;2022-01-03T22:00:00+01:00
subir;100.36;2022-01-03T23:00:00+01:00
subir;125.47;2022-01-04T00:00:00+01:00
subir;115.55;2022-01-04T01:00:00+01:00
subir;113.29;2022-01-04T02:00:00+01:00
subir;105.81;2022-01-04T03:00:00+01:00
subir;105;2022-01-04T04:00:00+01:00
subir;115.11;2022-01-04T05:00:00+01:00
subir;153.77;2022-01-04T06:00:00+01:00
subir;161.03;2022-01-04T07:00:00+01:00
subir;178.91;2022-01-04T08:00:00+01:00
subir;190;2022-01-04T09:00:00+01:00
subir;140.76;2022-01-04T10:00:00+01:00
subir;182.42;2022-01-04T11:00:00+01:00
subir;182.46;2022-01-04T12:00:00+01:00
subir;179.59;2022-01-04T13:00:00+01:00
subir;163.2;2022-01-04T14:00:00+01:00
subir;157.3;2022-01-04T15:00:00+01:00
subir;157.3;2022-01-04T16:00:00+01:00
subir;163.78;2022-01-04T17:00:00+01:00
subir;184.94;2022-01-04T18:00:00+01:00
subir;178.99;2022-01-04T19:00:00+01:00
subir;156.12;2022-01-04T20:00:00+01:00
subir;148.65;2022-01-04T21:00:00+01:00
subir;137.92;2022-01-04T22:00:00+01:00
subir;105;2022-01-04T23:00:00+01:00
subir;120.11;2022-01-05T00:00:00+01:00
subir;105.1;2022-01-05T01:00:00+01:00
subir;84.5;2022-01-05T02:00:00+01:00
subir;75.38;2022-01-05T03:00:00+01:00
subir;79.11;2022-01-05T04:00:00+01:00
subir;94.79;2022-01-05T05:00:00+01:00
subir;169.04;2022-01-05T06:00:00+01:00
subir;206.07;2022-01-05T07:00:00+01:00
subir;211.13;2022-01-05T08:00:00+01:00
subir;213.86;2022-01-05T09:00:00+01:00
subir;209.1;2022-01-05T10:00:00+01:00
subir;202.8;2022-01-05T11:00:00+01:00
subir;199.89;2022-01-05T12:00:00+01:00
subir;197.34;2022-01-05T13:00:00+01:00
subir;184.7;2022-01-05T14:00:00+01:00
subir;200;2022-01-05T15:00:00+01:00
subir;206.07;2022-01-05T16:00:00+01:00
subir;211.23;2022-01-05T17:00:00+01:00
subir;205;2022-01-05T18:00:00+01:00
subir;216;2022-01-05T19:00:00+01:00
subir;211.68;2022-01-05T20:00:00+01:00
subir;198.66;2022-01-05T21:00:00+01:00
subir;187.02;2022-01-05T22:00:00+01:00
subir;186.15;2022-01-05T23:00:00+01:00
subir;207.15;2022-01-06T00:00:00+01:00
subir;204.22;2022-01-06T01:00:00+01:00
subir;191.82;2022-01-06T02:00:00+01:00
subir;180.7;2022-01-06T03:00:00+01:00
subir;170.1;2022-01-06T04:00:00+01:00
subir;194.38;2022-01-06T05:00:00+01:00
subir;204.22;2022-01-06T06:00:00+01:00
subir;216.14;2022-01-06T07:00:00+01:00
subir;219.42;2022-01-06T08:00:00+01:00
subir;220;2022-01-06T09:00:00+01:00
subir;214.9;2022-01-06T10:00:00+01:00
subir;207.9;2022-01-06T11:00:00+01:00
subir;205;2022-01-06T12:00:00+01:00
subir;188.24;2022-01-06T13:00:00+01:00
subir;166.12;2022-01-06T14:00:00+01:00
subir;159.78;2022-01-06T15:00:00+01:00
