datetime,temperature,direct_radiation,cloud_cover,precipitation
2022-01-01T00:00,11.2,0.0,71,0.00
2022-01-01T01:00,10.9,0.0,56,0.00
2022-01-01T02:00,10.7,0.0,80,0.00
2022-01-01T03:00,10.3,0.0,23,0.00
2022-01-01T04:00,10.1,0.0,20,0.00
2022-01-01T05:00,9.8,0.0,8,0.00
2022-01-01T06:00,9.6,0.0,12,0.00
2022-01-01T07:00,9.4,0.0,12,0.00
2022-01-01T08:00,9.2,0.0,10,0.00
2022-01-01T09:00,8.9,0.0,73,0.00
2022-01-01T10:00,9.0,48.0,16,0.00
2022-01-01T11:00,9.9,273.9,54,0.00
2022-01-01T12:00,11.4,382.9,100,0.00
2022-01-01T13:00,13.1,511.4,39,0.00
2022-01-01T14:00,14.4,533.9,71,0.00
2022-01-01T15:00,15.1,429.9,100,0.00
2022-01-01T16:00,15.5,330.9,100,0.00
2022-01-01T17:00,15.2,204.9,100,0.00
2022-01-01T18:00,14.2,87.9,100,0.00
2022-01-01T19:00,13.1,0.0,100,0.00
2022-01-01T20:00,12.7,0.0,100,0.00
2022-01-01T21:00,12.5,0.0,100,0.00
2022-01-01T22:00,12.0,0.0,94,0.00
2022-01-01T23:00,11.8,0.0,100,0.00
2022-01-02T00:00,11.5,0.0,100,0.00
2022-01-02T01:00,11.2,0.0,100,0.00
2022-01-02T02:00,10.8,0.0,100,0.00
2022-01-02T03:00,10.4,0.0,100,0.00
2022-01-02T04:00,10.1,0.0,94,0.00
2022-01-02T05:00,9.9,0.0,100,0.00
2022-01-02T06:00,9.6,0.0,100,0.00
2022-01-02T07:00,9.3,0.0,100,0.00
2022-01-02T08:00,9.2,0.0,100,0.00
2022-01-02T09:00,9.1,0.0,100,0.00
2022-01-02T10:00,9.0,48.3,100,0.00
2022-01-02T11:00,9.8,159.4,100,0.00
2022-01-02T12:00,10.6,206.1,100,0.00
2022-01-02T13:00,11.7,306.9,100,0.00
2022-01-02T14:00,12.6,341.0,100,0.00
2022-01-02T15:00,13.8,452.9,92,0.00
2022-01-02T16:00,14.4,422.1,21,0.00
2022-01-02T17:00,14.4,276.2,79,0.00
2022-01-02T18:00,13.7,93.8,100,0.00
2022-01-02T19:00,12.3,0.0,24,0.00
2022-01-02T20:00,11.8,0.0,100,0.00
2022-01-02T21:00,11.5,0.0,94,0.00
2022-01-02T22:00,11.1,0.0,100,0.00
2022-01-02T23:00,10.8,0.0,100,0.00
2022-01-03T00:00,10.5,0.0,100,0.00
2022-01-03T01:00,9.9,0.0,100,0.00
2022-01-03T02:00,9.8,0.0,17,0.00
2022-01-03T03:00,9.5,0.0,100,0.00
2022-01-03T04:00,9.3,0.0,49,0.00
2022-01-03T05:00,9.1,0.0,100,0.00
2022-01-03T06:00,8.9,0.0,100,0.00
2022-01-03T07:00,8.5,0.0,100,0.00
2022-01-03T08:00,8.2,0.0,84,0.00
2022-01-03T09:00,8.1,0.0,100,0.00
2022-01-03T10:00,8.1,48.4,93,0.00
2022-01-03T11:00,8.8,192.6,100,0.00
2022-01-03T12:00,9.8,280.3,100,0.00
2022-01-03T13:00,10.9,418.3,100,0.00
2022-01-03T14:00,12.1,526.7,63,0.00
2022-01-03T15:00,12.9,494.1,66,0.00
2022-01-03T16:00,13.4,392.9,83,0.00
2022-01-03T17:00,13.4,244.8,100,0.00
2022-01-03T18:00,12.9,116.7,91,0.00
2022-01-03T19:00,11.7,0.0,100,0.00
2022-01-03T20:00,11.0,0.0,100,0.00
2022-01-03T21:00,10.6,0.0,100,0.00
2022-01-03T22:00,10.1,0.0,95,0.00
2022-01-03T23:00,9.8,0.0,95,0.00
2022-01-04T00:00,9.4,0.0,43,0.00
2022-01-04T01:00,9.0,0.0,14,0.00
2022-01-04T02:00,8.8,0.0,81,0.00
2022-01-04T03:00,8.4,0.0,33,0.00
2022-01-04T04:00,8.0,0.0,16,0.00
2022-01-04T05:00,7.7,0.0,16,0.00
2022-01-04T06:00,7.3,0.0,10,0.00
2022-01-04T07:00,7.0,0.0,34,0.00
2022-01-04T08:00,7.0,0.0,69,0.00
2022-01-04T09:00,7.4,0.0,100,0.00
2022-01-04T10:00,7.9,40.7,100,0.00
2022-01-04T11:00,8.4,146.9,100,0.00
2022-01-04T12:00,8.9,217.9,100,0.00
2022-01-04T13:00,9.4,332.6,100,0.00
2022-01-04T14:00,10.3,403.0,100,0.00
2022-01-04T15:00,11.1,438.4,100,0.00
2022-01-04T16:00,10.9,274.8,85,0.00
2022-01-04T17:00,9.6,17.4,100,0.10
2022-01-04T18:00,8.4,6.1,100,1.20
2022-01-04T19:00,5.7,0.0,100,1.70
2022-01-04T20:00,7.2,0.0,100,0.10
2022-01-04T21:00,6.2,0.0,100,0.00
2022-01-04T22:00,6.3,0.0,100,0.10
2022-01-04T23:00,6.4,0.0,100,0.00
2022-01-05T00:00,5.9,0.0,11,0.00
2022-01-05T01:00,5.4,0.0,6,0.00
2022-01-05T02:00,5.2,0.0,8,0.00
2022-01-05T03:00,5.0,0.0,6,0.00
2022-01-05T04:00,4.8,0.0,7,0.00
2022-01-05T05:00,4.7,0.0,6,0.00
2022-01-05T06:00,4.6,0.0,69,0.00
2022-01-05T07:00,4.8,0.0,100,0.00
2022-01-05T08:00,5.1,0.0,95,0.00
2022-01-05T09:00,4.9,0.0,99,0.00
2022-01-05T10:00,4.8,48.1,92,0.00
2022-01-05T11:00,5.4,157.5,68,0.00
2022-01-05T12:00,5.9,140.0,100,0.00
2022-01-05T13:00,6.7,351.0,67,0.00
2022-01-05T14:00,7.3,373.5,82,0.00
2022-01-05T15:00,7.9,512.1,7,0.00
2022-01-05T16:00,8.1,425.0,18,0.00
2022-01-05T17:00,7.7,178.6,100,0.00
2022-01-05T18:00,7.0,91.2,79,0.00
2022-01-05T19:00,6.0,0.0,100,0.10
2022-01-05T20:00,4.9,0.0,100,0.80
2022-01-05T21:00,4.9,0.0,100,0.20
2022-01-05T22:00,5.4,0.0,100,0.10
2022-01-05T23:00,5.2,0.0,100,0.30
2022-01-06T00:00,5.4,0.0,95,0.00
2022-01-06T01:00,5.1,0.0,100,0.00
2022-01-06T02:00,4.7,0.0,65,0.00
2022-01-06T03:00,4.5,0.0,42,0.00
2022-01-06T04:00,4.3,0.0,6,0.00
2022-01-06T05:00,4.0,0.0,5,0.00
2022-01-06T06:00,3.6,0.0,5,0.00
2022-01-06T07:00,3.3,0.0,11,0.00
2022-01-06T08:00,2.7,0.0,5,0.00
2022-01-06T09:00,1.9,0.0,0,0.00
2022-01-06T10:00,1.4,47.7,0,0.00
2022-01-06T11:00,2.2,299.3,0,0.00
2022-01-06T12:00,3.9,459.4,0,0.00
2022-01-06T13:00,5.6,559.5,0,0.00
2022-01-06T14:00,7.1,591.9,0,0.00
2022-01-06T15:00,8.1,557.7,0,0.00
2022-01-06T16:00,8.5,458.5,0,0.00
2022-01-06T17:00,8.5,312.0,10,0.00
2022-01-06T18:00,7.8,138.7,11,0.00
2022-01-06T19:00,6.5,0.0,100,0.00
2022-01-06T20:00,5.4,0.0,100,0.00
2022-01-06T21:00,5.6,0.0,100,0.00
2022-01-06T22:00,5.7,0.0,100,0.00
2022-01-06T23:00,5.7,0.0,100,0.00
2022-01-07T00:00,5.1,0.0,100,0.00
2022-01-07T01:00,4.6,0.0,9,0.00
2022-01-07T02:00,4.1,0.0,8,0.00
